Id,Prediction,Lyrics
595,1.0,"Hey yeah, hey yeah, hey yeah"
596,1.0,She wanna have fun
597,1.0,He don't do you right
598,1.0,"Had to have high, high hopes for a living"
599,1.0,But all that I've been looking for is me and you (Me and you)
600,0.0,"Not the fans, yeah, the haters"
601,0.0,"Mafia the dream, we just gon' chase it"
602,0.0,"Hit another band on the 'gram, I'm litty"
603,1.0,"It's irresistible, oh yeah"
604,0.0,Your b**** wanna party with Cardi
605,0.0,Put your pinky rings up to the moon
606,0.0,You just gotta tell me what you want (Tell me what you want)
607,0.0,"I just wan' get into things, I just want mine better (Nah)"
608,0.0,Better watch his lil' b**** 'cause I'm up off the liquor
609,0.0,"1942, I take you back in that 'Rari"
610,1.0,Don't ever let me go go go
611,1.0,"Sometimes, you gotta lose somebody (Somebody)"
612,0.0,"See me these days, I never got on a sad face"
613,0.0,"Hop out the Lamb, she gettin' it"
614,1.0,All that fear and all that pressure
615,0.0,"Demented with the pen, I'll make the mothaf***er detonate"
616,1.0,Guess I'll try and force a smile
617,1.0,"I don't wanna play no games, play no games"
618,1.0,"I lied for you, baby"
619,0.0,"Had so many bottles, gave ugly girl a sip"
620,0.0,"Blood Gang, yeah, SuWoop on me"
621,1.0,"If it ain't money, then wrong number"
622,0.0,"You should see the whip, promise I can take yo' b****"
623,0.0,"Thanks, I'm flattered, my baby mama badder (Yeah)"
624,0.0,Your b**** call me Myron (Call me...)
625,0.0,"Queen is the name, Rafaello did the chain"
626,0.0,He came along and showed me how to let go
627,0.0,So you know that the gang s*** will not stop
628,1.0,"Tell me we're alright, tell me we're okay"
629,1.0,"I need a girl like you, yeah yeah"
630,1.0,And they wanna know what you're about
631,1.0,You can't hold my heart no more
632,1.0,There's something in the way you do
633,1.0,"You need to let it go, you need to let it go"
634,1.0,I was lookin' at you the other day (Ooh)
635,1.0,Don't know if I'm gonna make it out alive
636,0.0,"Stacey Dash, most of these girls ain't got a clue"
637,1.0,Your team (oh yeah)
638,1.0,You got to keep me focused; you want it? Say so
639,0.0,"I can wear shorts in the winter, uh"
640,1.0,"And the memories bring back, memories bring back you"
641,1.0,"Say, ""slow down, turn here, graduate and work here"
642,0.0,Voice gettin' filled with entitlement
643,0.0,I been saw the problem but stay silent 'cause I ain't Jesus
644,0.0,"Slide on a n**** with the .44 (With the .44, with the .44)"
645,1.0,"Under this pressure, under this weight"
646,0.0,"Baby, you're a real smooth talker, (Jackson)"
647,0.0,"Fack, fack on everyone"
648,0.0,And I got a new deal (Brrt)
649,0.0,"Yikes, outta town on consistent flights"
650,1.0,Walked you home
651,0.0,"Okay, cool as fall weather, f*** your bulls***"
652,0.0,n****s talk crazy on tweets (Who)
653,0.0,"You just gotta be worth it, yeah, yeah, yeah, yeah"
654,0.0,"That's on Keef, that's on God"
655,1.0,Baby girl just wanna have fun with it (Baby girl)
656,0.0,"My n****s, they ready to drill, yeah (Okay)"
657,1.0,I feel my heart underneath my skin
658,1.0,I'm one of the greatest to ever do it
659,0.0,Different spots in it just like a cow
660,1.0,More than a woman
661,0.0,"Hammer time, uh"
662,0.0,I seen you with your other dude
663,1.0,Baby you gon' make me overnight it
664,0.0,"I keep 'bout twenty racks inside the Lam' truck, a n**** slidin', dawg"
665,1.0,"En garde, things are just things, they don't make you who you are"
666,1.0,Can't drink without thinking about you
667,0.0,She wanna f*** with the Woo
668,0.0,"'Cause you hatin' on a b****, that's what it sounds like"
669,1.0,"Whatever you want, you can have from me (Oh, oh)"
670,0.0,"I pulled that .40 out, he better have an angel with him (Ah)"
671,0.0,And I got all the drugs in the world that you need (World that you need)
672,1.0,"Oh no, there you go, you're making me a liar"
673,1.0,"My body addictive, it's driving him crazy"
674,0.0,How the f*** I got the Bentley? I ain't had a Honda (Ooh)
675,1.0,I don't see where I'm going
676,1.0,Still missing you and I can't
677,0.0,"I got murder on my mind, I got murder on my mind"
678,1.0,Only thing I know is you're too fine
679,1.0,With your messed up hair and your feet still bare
680,1.0,"You know just what to say, things that scare me"
681,1.0,I didn't ask for a free ride
682,1.0,Sometimes when I look into your eyes
683,1.0,And it's all on you
684,0.0,"Get back, kickback, blow your s*** back, uh"
685,1.0,"It's too late, too late"
686,1.0,"'Til sundown, when I come through"
687,1.0,"But when I'm flying, oh"
688,0.0,"Kevin Gates, Hard For"
689,0.0,"I was in the trap servin' cocaine, I ain't been the same since, woo"
690,0.0,Thirty rounds hangin' out the TEC (You dig?)
691,0.0,Celebrate with the ones we got here (Yeah)
692,0.0,"Matter fact, never mind, we'll let the past be"
693,0.0,I walk on water
694,1.0,"Baby girl, let me know if your love is real"
695,0.0,I am gon' swim 'til I come out on dry land or on the fryin' pan
696,0.0,I ain't goin' back and forth with you n****s
697,0.0,"Midnight into morning coffee, burning through the hours talking"
698,0.0,"Go'n, you doin' that wrong (Out of here), Al Capone (Skrrt, skrrt)"
699,0.0,"She gon' suck it all like she got no teeth (Beep, beep, yeah)"
700,1.0,(Waste it on me)
701,0.0,Heater on me like a Moncler
702,1.0,I give her the can in Kansas
703,1.0,That's all I ask of you
704,1.0,"No inhibition, no sin"
705,1.0,"I can taste it, the end is upon us, I swear"
706,0.0,Are running out of time
707,0.0,"Didn't even notice, no punches left to roll with"
708,1.0,Maybe it's 6:45
709,1.0,I ain't never been to DR
710,0.0,Time should've taught me the lesson
711,0.0,"Goin' up a whole 'nother notch, yeah"
712,0.0,This beat keeps takin' me back like my ex does
713,0.0,Set it ablze like a candle wick
714,0.0,"Freakin' every weekend, baby, we just getting started (wuh!)"
715,0.0,Pistol in your hand don't make you real
716,0.0,These rappers really nice as hell
717,1.0,But they don't have a shot when I compare them to you
718,1.0,"Don't ya stop, boy (Oh, yeah)"
719,1.0,Things started looking down
720,0.0,"f*** around, we gon' start a new challenge (Woo)"
721,0.0,"Everyone showin' up, where was you in the beginnin'? (in the beginnin')"
722,0.0,And I wanna run it and I wanna keep it goin' and goin'
723,1.0,I just thought that she could be the one
724,0.0,"I'm slidin' in a coupe, ain't got no key to start"
725,1.0,"No, no, we don't give a... anymore"
726,1.0,Every video I see on my conscience
727,0.0,And I'm talkin' to you
728,0.0,"Hah, funny as s***, a fifth of the tab"
729,1.0,Didn't know how but I always had a feeling
730,0.0,"Run it up, f*** around, give the 'Vette to DT"
731,1.0,"Or I'm not listenin', or, I'm indifferent"
732,0.0,We said that we'd keep in touch
733,0.0,They're all posing in a picture frame
734,0.0,Stick my d*** and put the tip in at minimal
735,1.0,Least we stole the show
736,0.0,"Mmm, uh, yo, I got the money and the power now"
737,0.0,Type of money you gon' need a bank
738,0.0,"All your n****s left, you wasn't actin' right"
739,0.0,"They keep hatin', but still watchin'"
740,1.0,Don't steal my man
741,1.0,And I was on cloud nine
742,1.0,"I was bad as hell in school, they even tried to counsel me (21)"
743,1.0,"Said you for me, it don't be seeming like that"
744,0.0,"But shawty, I'ma hit it, hit it like I can't miss"
745,0.0,"Yeah, I hope that you know that I tried and I tried and I tried to revive something that already died"
746,0.0,"Rugers (Rugers), Rugers"
747,0.0,"Don't sell me p****, I need a percentage"
748,1.0,"Go'n throw down, take a sip with it"
749,0.0,"This a hundred round drum, I got mob ties"
750,0.0,"Gimme the ting and make me rock, rock, rock, rock"
751,1.0,I'ma rinse away this dirt
752,0.0,Growin' up I used to always see her up
753,1.0,And now the tears in your eyes make it blurry
754,1.0,"Oh, baby, don't hate me"
755,0.0,I've said those words before but it was a lie
756,1.0,I'm not gonna beg for you
757,0.0,Living in the streets and the gutter raised me
758,0.0,"Check price tags, you want it, you get it"
759,1.0,"Sweat beads, feel me (Feel me)"
760,0.0,I've had as much as I can tolerate
761,1.0,Say you'll remember me
762,1.0,"Yeah, you can snooze if you wanna, but not on me, baby"
763,0.0,"Uh, we was starvin' for a thousand nights"
764,0.0,Have you got no shame? You looking insane
765,1.0,It was just like a movie
766,1.0,Said she ain't that far off
767,1.0,"I'm laughin', I'm cryin'"
768,0.0,"Every day leg day, she be too thick"
769,0.0,"Three million cash, call me Rain Man"
770,1.0,797 I WANNA DANCE WITH SOMEBODY (WHO LOVES ME)
771,1.0,"My, my, my, my, my oh my"
772,1.0,I gotta trust my lonely
773,0.0,"AP, Muller, my Rollie"
774,0.0,What it's gon' take? (Take)
775,0.0,"They call me Saddam Hussein, Ayatollah Khomeini"
776,0.0,"Whole pointers 'round my neck, lookin' like a lighthouse (Shine)"
777,0.0,"Not like the rest of 'em, I'm a different one"
778,0.0,"Alien, feel like I'm livin' on my own planet"
779,0.0,"I spend over 5,000, that's just on one fit (that's on one fit)"
780,1.0,"Ain't gotta worry 'cause it's all right, it's all right"
781,0.0,I'm the n**** make your b**** wanna pop (Yeah)
782,0.0,And when I'm hostile and impossible to stop
783,1.0,I cannot say what I believe in
784,1.0,"Yeah, that is where I'm gonna be because I wanna be"
785,0.0,"He was playing games, got you dancing in the middle of the club"
786,0.0,Every time I go to the mall just to pop the tags
787,1.0,"You know, covergirls eat nothing"
788,0.0,"Hood b****, good p****, I ain't average"
789,1.0,First you gotta forgive me
790,1.0,Feelin' like a someone
791,0.0,Droppin' the dope in the stash (yah)
792,0.0,"King of New York, lookin' for the Queen"
793,1.0,Tonight and after that (Ooh)
794,0.0,"Cocaine and lean, it's federal (White)"
795,0.0,"Lookin' back, I wish I woulda did more instead of runnin'"
796,0.0,"Then don't jack me, yeah (Then don't jack me)"
797,1.0,Just say the word and I'll part the sea
798,1.0,"Oh, so come and get this d***"
799,0.0,"I wonder why, I, I wonder why, yeah"
800,0.0,Writin' words to the beats
801,0.0,'Cause all my n****s got it out the streets
802,1.0,All I need is roses
803,1.0,"You don't gotta go to work, work, work, work"
804,1.0,And I tend to close my eyes when it hurts sometimes
805,1.0,"Yeah, I'm hollow, oh oh oh"
806,0.0,"Get some millions, it'll make a n**** love livin'"
807,1.0,"She say, ""Do you love me?"" I tell her, ""Only partly"
808,0.0,(Hell nah) Go and give 'em all the finger
809,0.0,"If I get it trippin', it's no comin' back"
810,1.0,"Don't walk away, boy (Don't walk away)"
811,0.0,"Ayy, yeah, f*** with G and get some money"
812,0.0,Got a stick in the car and it sound like a bomb (Boom)
813,0.0,"I said, everything I said messin' with your head"
814,0.0,"Ayy, even D4L couldn't do it like me, like me"
815,1.0,I still keep it under the seat
816,0.0,"We was used to pullin' kick doors, you could still call it a lick (Lick)"
817,1.0,"Say it ain't so, say it ain't so"
818,0.0,"And that's f***ed up, 'cause you know that I don't f*** with nobody"
819,0.0,"And I know, we can get higher"
820,1.0,"It's irresistible, oh yeah"
821,1.0,"So baby, take my hands, save your soul"
822,0.0,"Babe, just hit the pedal"
823,0.0,"Rockstar, Black Beatle type, bands on his bread"
824,0.0,"Out ah road, they lovin' my style (Style)"
825,1.0,"Give her that pipe (Give her that, give her that pipe)"
826,0.0,"Went looking for a sign, but instead, I got a message"
827,1.0,And I just don't know what to say
828,1.0,I used to cry to all my friends
829,1.0,"Roof was on, let me, love me"
830,1.0,I gotta recognize the weapon in my mind
831,0.0,a** so fat that I got to hit beside that
832,0.0,"Your venom was lethal, I almost believed you (Almost believed you)"
833,1.0,"And I'm just like, ""Hey, are you okay?"""
834,1.0,Next time that she sees me
835,0.0,"I got some shooters, they ready to ride (Boom, boom, boom)"
836,1.0,I'll try to pass the night away with somebody new
837,0.0,Relatives; ain't seen 'em since the grass been greener
838,1.0,What you waiting for?
839,0.0,"Hallelujah, I'm a witch, I'm a witch, hallelujah"
840,0.0,I'mma go where they all couldn't go (Hey)
841,0.0,We just wanna party (Yeah)
842,0.0,Who a hotter B? Who got a lot of D?
843,0.0,"I'm fully automatic, I'm n addict in the halls"
844,1.0,You've been hurt before
845,0.0,"If you bust triggers and you tell, you a f*** n****"
846,1.0,"But when I'm on the molly, I feel savage"
847,1.0,"But if it's meant to be, it'll be, it'll be"
848,1.0,Love get confused in the mind of a child
849,1.0,As soon as it's over I can be me again
850,0.0,"Maybe soon by the way things go, we've been talking for ages"
851,0.0,"This our life, our time, we livin' well"
852,0.0,"Oblivion, yeah, yeah, yeah, yeah, yeah, yeah, yeah"
853,1.0,"Pretty mind, silk thoughts"
854,0.0,Walking on wires and power lines
855,1.0,One thing I love more than being with you
856,0.0,"If I catch a body, I keep it on hush (Hush)"
857,0.0,"Maybe flex with some diamonds and pearls, yeah"
858,0.0,It's like Jesus walkin' (Woozin' automatics)
859,1.0,"Yeah, no more, no more"
860,0.0,"Bad b****es only, bad b****es on me (Bad)"
861,0.0,"Gave that b**** a little blow and then she come alive (Ooh, wow!)"
862,1.0,"Logic, Fade Away"
863,0.0,Ain't no time to bicker over who the nicest
864,1.0,"Just one hit of you, I knew I'll never ever, ever be the same"
865,1.0,Find my way up into the clouds
866,1.0,And close your eyes to the one
867,1.0,"You could lose everything, the truth is you never know"
868,1.0,"Wanna go home, woah"
869,1.0,You rang a bell
870,1.0,(Good girls better get bad)
871,0.0,"I gotta bust it down, break it open"
872,1.0,"It's like, ooh (Ooh), maybe I should bottle my moves (Moves)"
873,0.0,And follow the hearse since you say you gon' ride
874,0.0,"Left jail, went to Benihana"
875,0.0,Tell me where you've been lately
876,1.0,"Playing with fire, I was the first to fall"
877,1.0,"I can feel my body shake, there's only so much I can take"
878,0.0,"Make it happen in my mind, I'm telling you, yeah"
879,0.0,Calling me up cause your bad check bounced
880,0.0,"Shawty say she like my style, I be dripping with ease (Dripping with ease)"
881,0.0,"Message to my lawyer: ""Don't let me make these b****es famous"""
882,0.0,"Hallelujah, hallelujah, hallelujah, hallelujah"
883,0.0,I just slide in and then I roll
884,0.0,"I'm real right, hold yo' sticks tight, get yo' clique knocked with this cash"
885,1.0,We've gotta let go of all of our ghosts
886,0.0,"It's your beauty girl, plus your frame (Ooh, ooh)"
887,0.0,"Take pictures, post on Insta"
888,1.0,"I'm caught between your love and a hard place, oh"
889,0.0,But when they ask me is the war finished with MGK? Of course it is
890,1.0,But every night with us is like a dream
891,1.0,And Lost Boys like me are free
892,0.0,Man I'm the macho like Randy
893,0.0,If all of the kings had their queens on the throne
894,1.0,"It's solo, solo everybody"
895,0.0,"You chase the nut like a squirrel, yeah"
896,1.0,"Just to listen is a fight, but you booked me for the fight"
897,1.0,When you're standing there in your underwear
898,0.0,"Pushed me to the edge, so it really ain't my mothaf***in' fault"
899,0.0,"Plug walk, Gucci on my shoe racks (Gucci)"
900,1.0,"So let me be sad tonight, sad tonight, sad tonight"
901,0.0,In the lab with Celine like that bag that she wanted (Celine)
902,0.0,"She got that wet wet, got me blowin' through this whole bag (Rack)"
903,0.0,"And I'm ballin', that's why it's diamonds on my jersey"
904,1.0,Feelin' like a someone
905,0.0,"Tell me who love you, I bet I love harder"
906,1.0,I don't know why I used to love you
907,0.0,Running out of pages in your passport
908,0.0,Back with the remix
909,0.0,"And I know that s*** was wrong, I shouldn't've did what I did"
910,0.0,"Slide on a n****, they drive through like Wendy's (Slide)"
911,1.0,Haven't I made it clear?
912,0.0,"Now I got the Bentley, and it's blacked out (Whoa)"
913,0.0,"This love triangle left us in a wreck, tangled"
914,0.0,Beat knocks like a beefed up Detox
915,0.0,"If he a rich n****, why he still hitting licks? (Licks)"
916,1.0,"Barely coming up for air, what can I say?"
917,1.0,"And still look good for you, good for you"
918,1.0,"So, what a man gotta do?"
919,0.0,"Now purple hearts all on my garment, I ain't trusting a soul (Ain't trusting a soul)"
920,1.0,"It's emergency, call me 911"
921,0.0,"Drive the new Corvette like it's stolen, yeah"
922,1.0,"Here go some haterade, get ya thirst quenched"
923,0.0,"We gon' take these boys back to school, uh"
924,0.0,n****s askin' if I'm cool
925,0.0,Really get to trippin' on the stage
926,0.0,"Chance The Rapper, Angels"
927,1.0,So let down your hair
928,0.0,"It ain't no in the middle, shoot the messenger"
929,1.0,"Small world, all her friends know of me (know me)"
930,0.0,"'Cause someday soon, your whole life's gonna change"
931,1.0,Now I do anything that New Balance say
932,0.0,"Ride with me, ride with me, boss (Boss)"
933,1.0,I know you're the reason I believe in life
934,1.0,"Just wait, can you come here please? 'Cause I wanna be with you"
935,0.0,Everywhere I go (Hey)
936,1.0,"If I get one, you get one too, I really move how bosses move"
937,1.0,I know you been hoping I'd give in
938,0.0,"26. Teyana Taylor, The Album"
939,0.0,n****s know that we gangbang and still active
940,0.0,"All my ladies, listen up (Say, all my ladies)"
941,1.0,I just like the way it feels when you're around
942,0.0,"Saint Laurent feet, put it on toes"
943,0.0,"She like to fly, pelican (Brr)"
944,0.0,"We ain't aimin' for your body, shots hit your brain"
945,0.0,Party ain't over if they say somethin' (Say somethin')
946,1.0,"I was gonna change your life, girl but I don't wanna break your heart"
947,1.0,"My love won't hurt you (No, no)"
948,0.0,"Feed a b**** Addys (Addys), we so lavish (Let's go)"
949,0.0,"Raw dog, prolly have three sons"
950,1.0,Promise I am never lettin' up
951,0.0,You really want them hoes? You can have them b****es
952,0.0,Ill be gettin what i want In the end quit stallin
953,0.0,"She sniffin' the lines, assembly (Lines)"
954,1.0,I want you to bring it all on
955,0.0,What is money really worth if it ain't love?
956,1.0,"But I'm no different, selling dreams for tonight"
957,0.0,"I'll learn his a** (On God, n****)"
958,0.0,And I shoot from the hip when I grip them things
959,0.0,Leave it on the floor but she's slidin' from the pole (What?)
960,0.0,"Go'n, you doin' that wrong (Out of here), Al Capone (Skrrt, skrrt)"
961,1.0,"Ooh, I should be runnin'"
962,1.0,"In my mind, I'm running round a cold and empty space"
963,0.0,"Yeah, she caramel, but I call that b**** butterscotch"
964,0.0,"n****s tryna take my life, keep a pole (Keep a pole)"
965,0.0,In alphabetical order by title:
966,0.0,"She said, ""Cool, gotta run out to my Cadillac though"
967,0.0,Heard that your hood outside (Yeah)
968,0.0,"Jonas Blue, Fast Car"
969,0.0,"Now she want my money, I said ""Not at all, no, no"" (No way)"
970,1.0,Kill 'em with kindness
971,1.0,"Can you come through, through"
972,0.0,"You know I, I'm afraid of change"
973,0.0,Many stars on the globe
974,0.0,Get a n**** whacked like you get the grass mowed (Mowed)
975,1.0,They wishin' on me
976,0.0,Triple S got that extra grip (Grip)
977,1.0,Feeling good now you're outta my life
978,1.0,"Keep a shooter in there, try to rob me, this the wrong tomb"
979,1.0,"Ooh, yeah, mmm, yeah"
980,1.0,With nothin' but your nights on
981,0.0,"Rap's Jackie Chan, we ain't pullin' them fake stunts"
982,1.0,I don't care what you thought before
983,0.0,"Known to be crazy, known to be wild"
984,1.0,Won't you come on over? I'm a sucker for ya
985,1.0,"What I was wearing, if I was rude"
986,1.0,I've got these feelings for you
987,0.0,Had to pray to almighty God they let my dog out the kennel
988,1.0,"Said you're running outta time, what do you mean?"
989,1.0,Instead of going out to find trouble
990,1.0,Go'n roll your shoulders (Roll your shoulders)
991,0.0,The sky'd be falling while I hold you tight (Oh woah)
992,0.0,The closest thing he's had to hits is smackin' b****es (Pump it up!)
993,0.0,"I don't ever sleep, yeah, I'm wide awake"
994,0.0,"No, you said that s***, we'd be together, oh"
995,0.0,I swear these n****s talk s*** but they really be hidin' (Woo)
996,0.0,I leave 'em deader
997,1.0,"And you can get crazy, yeah, that's cool"
998,1.0,"When I taste tequila (When I, when I, when I)"
999,0.0,"If they love me or they hate me, it don't make no difference (Cardi)"
1000,1.0,"Dancing, yeah, ooh"
1001,0.0,Is there more to life than all of these corporate ties
1002,0.0,"I call you one time, two time, three time, I can't wait no more"
1003,0.0,"(Yeah, yeah, yeah)"
1004,0.0,"Lyin' down beside you, what's goin' through your head?"
1005,0.0,"I f*** it up, I f*** it up, mmm, yeah"
1006,0.0,Backstabbed so many times I started walkin' backwards
1007,1.0,So we'll piss off the neighbours
1008,1.0,Why is it so hard to say?
1009,0.0,"Motor City Casino, I'm at the cage with my old license"
1010,1.0,"Everybody, yeah, lose control"
1011,1.0,"And you know I stay trippin', am I crazy? Oh, no"
1012,0.0,My bro go see his barber five times a month (Yeah)
1013,1.0,Are we out of the woods yet? Are we out of the woods yet?
1014,1.0,I can rent this s*** out or save it for the children
1015,1.0,"Baby, I still see ya"
1016,0.0,Let me catch you up to speed
1017,0.0,"Lookin' for my next high, I'm lookin' for closure"
1018,0.0,You remind me every day
1019,0.0,"When the bones are good, the rest don't matter"
1020,1.0,Take me back to a time only we knew
1021,0.0,"My skin black like mamba (Yeah, yeah, yeah, yeah, yeah)"
1022,0.0,"My pinky on margarine, butter (Margarine)"
1023,1.0,I won't beg for your love
1024,0.0,Don't both of 'em got a girlfriend?
1025,0.0,Know some n****s that'll shoot you for nothin' (Woo)
1026,0.0,"Population four million, how I see the same b****es?"
1027,0.0,I got a gate with my face in it
1028,0.0,I see n****s in this b****
1029,1.0,Bang my head against the wall
1030,0.0,"Wet, wet, wet, wet"
1031,0.0,"b****, you know ain't no stopping no n**** like me"
1032,1.0,Fresh out of school
1033,0.0,"Hardly get thirsty, got water like a lake"
1034,0.0,"Hold up, she gon' have to wait on it (Wait on it)"
1035,0.0,"A little crazy, but I'm just your type (okurr)"
1036,1.0,"I prove you wrong, I made it out of here"
1037,1.0,"Y'all had a year, but you let it go by"
1038,1.0,Was it all too much or just not enough?
1039,0.0,Spill promethazine inside a double cup
1040,0.0,Until I pop out with a million (I pop)
1041,1.0,You just say the word and I'll run through
1042,0.0,"Try to tell me that she don't smoke, later on she joinin'"
1043,0.0,"The moment is medical, moment is medical"
1044,0.0,"I ain't doin' no swaps with a freak, uh (Bad, bad, bad)"
1045,0.0,"Racketeering, the syndicate got they hand in plenty things"
1046,1.0,I'm way too good to you
1047,0.0,My old b**** was too disrespectful
1048,0.0,"We could be in North Korea, I could smoke with Wiz Khalifa, uh"
1049,1.0,"She's on the loose (She's coming, she's coming)"
1050,0.0,"But I survived, that's on God"
1051,0.0,The things that we've done to protect the name are unsettling
1052,0.0,I'm flippin' this money the fastest (Yeah)
1053,0.0,"Got at least two, but we're not drunk"
1054,0.0,"Yeah, Moncler, yuh, fur came off a bear, yuh (yeah)"
1055,1.0,If we've only got this life
1056,1.0,'Cause you're the next Drew Barry
1057,0.0,College loans really did f*** up her credit
1058,1.0,"He got mad, so I got drinks"
1059,1.0,Even when the flavor don't taste like you
1060,0.0,I never was one for the bragging and boasting
1061,1.0,JULIANE WERDING
1062,0.0,"Louis, Gucci, Fendi, Prada (Designer)"
1063,1.0,An example of the perfect candidate
1064,1.0,Thinkin' you could live without me
1065,1.0,Are we in the clear yet? In the clear yet? Good
1066,1.0,Cause right now I'm out here tryna find someone
1067,1.0,I can't keep this on the low
1068,1.0,"Wide awake, wake, wake 'til 6AM"
1069,0.0,Light up my wrist on these hoes (wrist)
1070,1.0,But ain't no ones in mine (Nope)
1071,0.0,"That b**** drive me crazy (Ayy), she gon' make me psycho (Ayy)"
1072,0.0,Shower up and then we hit the club
1073,1.0,"Would you rescue me? Ah, would you rescue me?"
1074,1.0,"Ain't no need for searching, and for that, I say"
1075,0.0,"I make some calls, you can't cop the fleet"
1076,1.0,Get told we'll never be what we were
1077,0.0,"On that Earl Manigault, shootin' it out the spoon"
1078,0.0,"And I can do better, do better alone"
1079,1.0,Let me love you
1080,0.0,But b**** I'm from Cleveland
1081,0.0,"Hit a opp up, dreads swangin' just like I'm a Rasta"
1082,0.0,All the love you won't forget
1083,0.0,"Louis, Fendi (Fendi), Balenciaga (Balenciaga)"
1084,1.0,"You could turn water to wine, feel me"
1085,0.0,"Ty Dolla $ign, Saved"
1086,1.0,Fulfill my high
1087,0.0,"We was in the hood, sellin' bags, shootin' choppers"
1088,0.0,"Big bank take lil' bank, bank"
1089,1.0,"Look, I ain't tryna throw no shade"
1090,1.0,"I'm from the Bronx, not Benny"
1091,1.0,Don't do thirties (No thirties)
1092,1.0,"I like that, baby (Yeah)"
1093,1.0,I feel like you take me for granted
1094,1.0,"Baby, if it's meant to be"
1095,1.0,Keep on doing it
1096,0.0,Turn it up and throw a tantrum
1097,1.0,"It's always us, never them (Yeah, yeah)"
1098,1.0,Why you gotta look like that?
1099,0.0,Say they want some of that trap talk (Trap)
1100,0.0,"d***, I wish my n**** Fatts was here"
1101,0.0,"Bad b****es only, bad b****es on me (Bad)"
1102,0.0,"Girl, you know I need some affection (yeah, girl)"
1103,1.0,"But now I know, I'm better sleeping on my own"
1104,1.0,Don't wanna know
1105,1.0,I ain't gonna stop 'til I go too far
1106,1.0,You lettin' THE SCOTTS outside (Mmm)
1107,0.0,Forgave my brothers and drank up
1108,1.0,"I know that it's hard, but you have to try"
1109,0.0,"Leave this s*** in the past, but I want it to last"
1110,1.0,"Rollerskates, them lines"
1111,1.0,That's how you know you f***ed up
1112,1.0,That part of me done died
1113,1.0,"Say this s*** is trash again, I'll have you twisted"
1114,0.0,"That's a lot of shots, huh? (Double entendre)"
1115,0.0,The IRS want they fifty plus our tithe
1116,0.0,"Hold on, I got you with some loan money"
1117,0.0,Turned a dead n**** to a blunt of weed
1118,0.0,And I got a shawty with the best eyes
1119,1.0,I'll never be the same
1120,0.0,We movin' them packs and we movin' them kilos
1121,0.0,"I came from rags to riches, I'm the s***"
1122,1.0,"So don't let me, don't let me, don't let me down"
1123,1.0,Why I gotta build something beautiful just to go set it on fire?
1124,1.0,For like a million days
1125,1.0,"Oh yeah, oh yeah, oh yeah"
1126,0.0,"If you wanna Minaj, I got a tricycle (No, eh, hey, eh, eh)"
1127,1.0,"I know I wasn't there for you, at least I said I'm sorry"
1128,0.0,"Givin' pumps, like, ""Who shot ya?"" (Brr)"
1129,0.0,Clever as it get
1130,0.0,"That we don't talk anymore, we don't talk anymore"
1131,1.0,"Nah to the ah to the no, no, no"
1132,1.0,You won't succeed tryna learn me
1133,1.0,"And I'm already sweatin', but I'm locked and loaded"
1134,1.0,"So baby, run away with me"
1135,0.0,"You ain't wanna hit the club, but the pressure"
1136,0.0,Underneath the sunrise (Underneath the sunrise)
1137,1.0,Waving to the hard times
1138,0.0,(Automatic when the woo clap)
1139,0.0,"Pop pop, it's show time (Show time)"
1140,1.0,Then one of us gets too drunk
1141,0.0,But you know that there is no innocent one in this game for two
1142,0.0,"Five, four, three, two, I let one go"
1143,0.0,I'ma make it count while I'm here
1144,1.0,"They say that I'm trippin', they wouldn't understand"
1145,1.0,If you cross her
1146,0.0,I just seen lil' mama Instagram and she flexin'
1147,1.0,Look what I have done now
1148,1.0,I don't know what you're doing in New York
1149,0.0,"How you still dissin', still can't find some hits? (Okay)"
1150,0.0,But I know you'll be worth it
1151,1.0,We can find a way to break through
1152,1.0,If I tried to define
1153,1.0,"Yeah, I know it ain't pretty"
1154,1.0,I don't do Jordans and Audemars
1155,1.0,Let's just let it go
1156,0.0,I told her I'd pray for the kid
1157,1.0,And I'm so tired (tired)
1158,0.0,"Like a hula, hula hoop, hula, hula hoop, oh"
1159,1.0,"Sometimes you love me, sometimes you're coming for my head"
1160,1.0,We're far from the shallow now
1161,0.0,Get the genie out the bottle
1162,0.0,"Bad lil' vibe, she been on my mind"
1163,1.0,"Think it's funny, but honey, can't run this show on your own"
1164,1.0,"When we could push all the limits, ah yeah"
1165,0.0,"I'ma hit 'em with this b**** and watch 'em overdose (fill 'em up yeah, yeah)"
1166,1.0,Soon enough we reached Neverland
1167,1.0,I can switch up and come back another way
1168,1.0,Awake 'til dawn (Wake 'til dawn)
1169,0.0,And help another b**** out the whip
1170,1.0,"Oh yeah, very long time"
1171,0.0,Guess that we just really had the thunder
1172,0.0,"Baby girl, yeah, you a ten"
1173,0.0,Goin' shoppin' one stop 'fore I stop at the resort (Resort)
1174,0.0,"Aventador, my doors, I lift 'em like, ""Sure 'nough"" (What?)"
1175,0.0,"Shawty said she holding, got a razor in her lip"
1176,1.0,"I need you to know, I need you to know"
1177,0.0,"Ayy, ayy, let me see you go ahead and spend some"
1178,0.0,"b****es suck my d***, 'cause I'm fly like Aladdin"
1179,0.0,Teardrops on my face (Water like misery)
1180,0.0,Gotta be an antisocial gangster 'cause the feds watchin' my tweets
